2026-00001,OFR-001,CCS111-24,1BSCS-1
2026-00001,OFR-002,CCS112-24,1BSCS-1
2025-00002,OFR-003,CCS211-24,2BSCS-1
2025-00002,OFR-004,CCS212-24,2BSCS-1
2025-00002,OFR-013,CIT211-24,2BSIT-1
2025-00002,OFR-014,CIT212-24,2BSIT-1
2025-00002,OFR-023,CIS211-24,2BSIS-1
2025-00002,OFR-024,CIS212-24,2BSIS-1
2025-00003,OFR-005,CCS211-24,2BSCS-2
2025-00003,OFR-006,CCS212-24,2BSCS-2
2024-00004,OFR-007,CCS311-24,3BSCS-1
2024-00004,OFR-008,CCS312-24,3BSCS-1
2023-00005,OFR-009,CCS411-24,4BSCS-1
2023-00005,OFR-010,CCS412-24,4BSCS-1
2026-00006,OFR-011,CIT111-24,1BSIT-1
2026-00006,OFR-012,CIT112-24,1BSIT-1
2025-00007,OFR-013,CIT211-24,2BSIT-1
2025-00007,OFR-014,CIT212-24,2BSIT-1
2025-00008,OFR-015,CIT211-24,2BSIT-2
2025-00008,OFR-016,CIT212-24,2BSIT-2
2024-00009,OFR-017,CIT311-24,3BSIT-1
2024-00009,OFR-018,CIT312-24,3BSIT-1
2023-00010,OFR-019,CIT411-24,4BSIT-1
2023-00010,OFR-020,CIT412-24,4BSIT-1
2026-00011,OFR-021,CIS111-24,1BSIS-1
2026-00011,OFR-022,CIS112-24,1BSIS-1
2025-00012,OFR-023,CIS211-24,2BSIS-1
2025-00012,OFR-024,CIS212-24,2BSIS-1
2025-00013,OFR-025,CIS211-24,2BSIS-2
2025-00013,OFR-026,CIS212-24,2BSIS-2
2024-00014,OFR-027,CIS311-24,3BSIS-1
2024-00014,OFR-028,CIS312-24,3BSIS-1
2023-00015,OFR-029,CIS411-24,4BSIS-1
2023-00015,OFR-030,CIS412-24,4BSIS-1
2026-00016,OFR-001,CCS111-24,1BSCS-1
2026-00016,OFR-002,CCS112-24,1BSCS-1
2026-00016,OFR-011,CIT111-24,1BSIT-1
2025-00017,OFR-003,CCS211-24,2BSCS-1
2025-00017,OFR-004,CCS212-24,2BSCS-1
2025-00017,OFR-013,CIT211-24,2BSIT-1
2024-00018,OFR-005,CCS211-24,2BSCS-2
2024-00018,OFR-006,CCS212-24,2BSCS-2
2024-00018,OFR-015,CIT211-24,2BSIT-2
2026-00019,OFR-007,CCS311-24,3BSCS-1
2026-00019,OFR-008,CCS312-24,3BSCS-1
2026-00019,OFR-017,CIT311-24,3BSIT-1
2026-00020,OFR-001,CCS111-24,1BSCS-1
2026-00020,OFR-002,CCS112-24,1BSCS-1
2026-00020,OFR-011,CIT111-24,1BSIT-1
2025-00021,OFR-003,CCS211-24,2BSCS-1
2025-00021,OFR-004,CCS212-24,2BSCS-1
2025-00022,OFR-005,CCS211-24,2BSCS-2
2025-00022,OFR-006,CCS212-24,2BSCS-2
2024-00023,OFR-007,CCS311-24,3BSCS-1
2024-00023,OFR-008,CCS312-24,3BSCS-1
2023-00024,OFR-009,CCS411-24,4BSCS-1
2023-00024,OFR-010,CCS412-24,4BSCS-1
2026-00025,OFR-011,CIT111-24,1BSIT-1
2026-00025,OFR-012,CIT112-24,1BSIT-1
2025-00026,OFR-013,CIT211-24,2BSIT-1
2025-00026,OFR-014,CIT212-24,2BSIT-1
2025-00027,OFR-015,CIT211-24,2BSIT-2
2025-00027,OFR-016,CIT212-24,2BSIT-2
2024-00028,OFR-017,CIT311-24,3BSIT-1
2024-00028,OFR-018,CIT312-24,3BSIT-1
2023-00029,OFR-019,CIT411-24,4BSIT-1
2023-00029,OFR-020,CIT412-24,4BSIT-1
2026-00030,OFR-001,CCS111-24,1BSCS-1
2026-00030,OFR-002,CCS112-24,1BSCS-1
2026-00030,OFR-021,CIS111-24,1BSIS-1
2025-00031,OFR-023,CIS211-24,2BSIS-1
2025-00031,OFR-024,CIS212-24,2BSIS-1
2025-00032,OFR-025,CIS211-24,2BSIS-2
2025-00032,OFR-026,CIS212-24,2BSIS-2
2024-00033,OFR-027,CIS311-24,3BSIS-1
2024-00033,OFR-028,CIS312-24,3BSIS-1
2023-00034,OFR-029,CIS411-24,4BSIS-1
2023-00034,OFR-030,CIS412-24,4BSIS-1
2026-00035,OFR-001,CCS111-24,1BSCS-1
2026-00035,OFR-002,CCS112-24,1BSCS-1
2025-00036,OFR-003,CCS211-24,2BSCS-1
2025-00036,OFR-004,CCS212-24,2BSCS-1
2025-00037,OFR-005,CCS211-24,2BSCS-2
2025-00037,OFR-006,CCS212-24,2BSCS-2
2024-00038,OFR-007,CCS311-24,3BSCS-1
2024-00038,OFR-008,CCS312-24,3BSCS-1
