CCS111-24,Introduction to Computing
CCS112-24,Computer Programming 1
CCS211-24,Data Structures and Algorithms
CCS212-24,Human-Computer Interaction
CCS311-24,Design and Analysis of Algorithms
CCS312-24,Introduction to Artificial Intelligence
CCS411-24,Cloud Computing
CCS412-24,Thesis / Capstone Project 2
CIT111-24,Introduction to Computing
CIT112-24,Web Systems and Technologies
CIT211-24,Networking 1
CIT212-24,Information Management
CIT311-24,Cloud Computing
CIT312-24,Information Assurance and Security
CIT411-24,IT Service Management
CIT412-24,IT Internship / OJT
CIS111-24,Fundamentals of Information Systems
CIS112-24,Business Organization and Management
CIS211-24,Systems Analysis and Design
CIS212-24,Database Management Systems
CIS311-24,Business Intelligence
CIS312-24,Information Systems Project Management
CIS411-24,IT Audit and Controls
CIS412-24,Capstone Project 2
